2019/12/24 星期二 上午 9:58:04	正在从[1]号服务器获取时间...
2019/12/24 星期二 上午 10:00:26	查询完毕,本次查询共用时:293毫秒

2019/12/24 星期二 上午 10:00:30	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 10:00:30	查询完毕,本次查询共用时:218毫秒

2019/12/24 星期二 上午 10:00:30	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 10:00:30	查询完毕,本次查询共用时:427毫秒

2019/12/24 星期二 上午 10:00:30	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 10:00:30	查询完毕,本次查询共用时:191毫秒

2019/12/24 星期二 上午 10:00:31	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 10:00:31	查询完毕,本次查询共用时:176毫秒

2019/12/24 星期二 上午 10:00:32	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 10:00:32	查询完毕,本次查询共用时:429毫秒

2019/12/24 星期二 上午 10:00:32	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 10:00:32	查询完毕,本次查询共用时:171毫秒

2019/12/24 星期二 上午 10:00:32	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 10:00:32	查询完毕,本次查询共用时:900毫秒

2019/12/24 星期二 上午 10:00:32	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 10:00:32	查询完毕,本次查询共用时:952毫秒

2019/12/24 星期二 上午 10:00:36	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 10:00:36	查询完毕,本次查询共用时:5457毫秒

2019/12/24 星期二 上午 10:00:46	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 10:00:46	查询完毕,本次查询共用时:384毫秒

2019/12/24 星期二 上午 10:00:47	[查询失败]当前未查到列车，请稍后再试

2019/12/24 星期二 上午 10:00:47	查询完毕,本次查询共用时:566毫秒

2019/12/24 星期二 上午 10:00:47	[查询失败]当前未查到列车，请稍后再试

